TIME, eR_1, eR_2, eR_3, Psi, eW_1, eW_2, eW_3, u_1, u_2, u_3, W_1, W_2, W_3, Wd_1, Wd_2, Wd_3, D_1, D_1, D_1, D_true_1, D_true_2, D_true_3, ang_con
0.000,0.000,0.000,-0.911,1.076,0.000,0.000,0.000,0.000,0.000,0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.220,0.210,45.000
0.010,0.002,0.000,-0.911,1.074,0.278,0.303,0.479,-0.083,-0.091,0.226,0.278,0.303,0.479,0.000,0.000,0.000,0.001,0.001,-0.003,0.202,0.220,0.211,44.856
0.020,0.006,0.001,-0.911,1.068,0.441,0.479,0.843,-0.134,-0.147,0.120,0.441,0.479,0.843,0.000,0.000,0.000,0.003,0.003,-0.005,0.204,0.220,0.212,44.473
0.030,0.013,0.002,-0.912,1.059,0.533,0.580,1.118,-0.165,-0.181,0.038,0.533,0.580,1.118,0.000,0.000,0.000,0.005,0.006,-0.004,0.205,0.219,0.212,43.907
0.040,0.020,0.002,-0.912,1.047,0.583,0.634,1.326,-0.184,-0.201,-0.025,0.583,0.634,1.326,0.000,0.000,0.000,0.008,0.009,-0.003,0.207,0.219,0.213,43.204
0.050,0.028,0.003,-0.912,1.035,0.605,0.660,1.481,-0.197,-0.213,-0.073,0.605,0.660,1.481,0.000,0.000,0.000,0.011,0.012,-0.000,0.209,0.218,0.213,42.397
0.060,0.036,0.004,-0.912,1.021,0.612,0.670,1.596,-0.205,-0.220,-0.111,0.612,0.670,1.596,0.000,0.000,0.000,0.014,0.015,0.003,0.210,0.217,0.214,41.515
0.070,0.044,0.005,-0.912,1.006,0.609,0.669,1.680,-0.210,-0.224,-0.139,0.609,0.669,1.680,0.000,0.000,0.000,0.018,0.019,0.007,0.212,0.216,0.214,40.576
0.080,0.053,0.005,-0.911,0.991,0.600,0.662,1.740,-0.214,-0.225,-0.161,0.600,0.662,1.740,0.000,0.000,0.000,0.021,0.022,0.011,0.213,0.215,0.214,39.597
0.090,0.061,0.006,-0.909,0.975,0.587,0.652,1.782,-0.217,-0.226,-0.179,0.587,0.652,1.782,0.000,0.000,0.000,0.024,0.025,0.015,0.214,0.214,0.214,38.590
0.100,0.070,0.006,-0.907,0.959,0.572,0.639,1.809,-0.219,-0.225,-0.192,0.572,0.639,1.809,0.000,0.000,0.000,0.027,0.028,0.019,0.216,0.212,0.214,37.564
0.110,0.078,0.006,-0.905,0.943,0.556,0.625,1.825,-0.221,-0.224,-0.202,0.556,0.625,1.825,0.000,0.000,0.000,0.031,0.032,0.024,0.217,0.211,0.214,36.527
0.120,0.087,0.007,-0.902,0.927,0.538,0.610,1.832,-0.222,-0.223,-0.210,0.538,0.610,1.832,0.000,0.000,0.000,0.034,0.035,0.029,0.218,0.209,0.214,35.485
0.130,0.095,0.007,-0.899,0.911,0.520,0.595,1.832,-0.224,-0.221,-0.216,0.520,0.595,1.832,0.000,0.000,0.000,0.037,0.038,0.033,0.218,0.208,0.213,34.441
0.140,0.104,0.007,-0.895,0.895,0.501,0.579,1.827,-0.225,-0.219,-0.221,0.501,0.579,1.827,0.000,0.000,0.000,0.040,0.041,0.038,0.219,0.206,0.213,33.401
