TIME, eR_1, eR_2, eR_3, Psi, eW_1, eW_2, eW_3, u_1, u_2, u_3, W_1, W_2, W_3, Wd_1, Wd_2, Wd_3, D_1, D_2, D_3, D_true_1, D_true_2, D_true_3, ang_con_1, ang_con_2, ang_con_3, ang_con_4
0.000,0.000,0.178,-0.656,2.120,0.000,0.000,0.000,0.000,-0.071,0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,0.200,55.578,136.623,72.846,79.328
0.010,0.001,0.178,-0.655,2.119,0.278,0.176,0.385,-0.083,-0.125,0.150,0.278,0.176,0.385,0.000,0.000,0.000,0.001,0.001,-0.002,0.200,0.200,0.200,55.460,136.709,72.940,79.272
0.020,0.003,0.177,-0.651,2.116,0.439,0.278,0.676,-0.133,-0.158,0.063,0.439,0.278,0.676,0.000,0.000,0.000,0.003,0.003,-0.003,0.200,0.200,0.200,55.146,136.925,73.196,79.136
0.030,0.006,0.176,-0.645,2.111,0.529,0.336,0.894,-0.162,-0.178,-0.004,0.529,0.336,0.894,0.000,0.000,0.000,0.005,0.006,-0.002,0.200,0.200,0.200,54.685,137.221,73.578,78.957
0.040,0.009,0.175,-0.636,2.106,0.576,0.367,1.054,-0.180,-0.190,-0.057,0.576,0.367,1.054,0.000,0.000,0.000,0.008,0.008,-0.000,0.200,0.200,0.200,54.114,137.564,74.059,78.757
0.050,0.012,0.174,-0.625,2.099,0.598,0.383,1.170,-0.191,-0.198,-0.098,0.598,0.383,1.170,0.000,0.000,0.000,0.011,0.011,0.002,0.200,0.200,0.200,53.464,137.932,74.614,78.548
0.060,0.016,0.173,-0.610,2.092,0.605,0.389,1.251,-0.197,-0.202,-0.131,0.605,0.389,1.251,0.000,0.000,0.000,0.014,0.014,0.005,0.200,0.200,0.200,52.757,138.309,75.224,78.340
0.070,0.020,0.172,-0.592,2.086,0.602,0.389,1.303,-0.201,-0.205,-0.157,0.602,0.389,1.303,0.000,0.000,0.000,0.017,0.017,0.008,0.200,0.200,0.200,52.011,138.683,75.874,78.138
0.080,0.024,0.172,-0.570,2.079,0.594,0.386,1.333,-0.203,-0.207,-0.179,0.594,0.386,1.333,0.000,0.000,0.000,0.020,0.020,0.012,0.200,0.200,0.200,51.241,139.048,76.550,77.944
0.090,0.028,0.173,-0.543,2.072,0.583,0.380,1.345,-0.205,-0.208,-0.197,0.583,0.380,1.345,0.000,0.000,0.000,0.023,0.022,0.016,0.200,0.200,0.200,50.458,139.398,77.242,77.760
