TIME, eR_1, eR_2, eR_3, Psi, eW_1, eW_2, eW_3, u_1, u_2, u_3, W_1, W_2, W_3, Wd_1, Wd_2, Wd_3, D_1, D_2, D_3, D_true_1, D_true_2, D_true_3, ang_con
0.008,-0.407,-0.182,0.782,1.398,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.289
0.010,-0.408,-0.181,0.782,1.399,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.276
0.015,-0.406,-0.182,0.782,1.399,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.355
0.022,-0.406,-0.182,0.782,1.399,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.332
0.023,-0.405,-0.182,0.782,1.398,-0.000,0.001,-0.000,0.162,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.370
0.024,-0.406,-0.182,0.782,1.399,-0.000,0.001,0.000,0.162,0.072,-0.313,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.358
0.029,-0.406,-0.182,0.782,1.399,-0.000,0.001,0.000,0.162,0.072,-0.313,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.377
0.041,-0.405,-0.182,0.782,1.399,-0.000,0.001,-0.000,0.162,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.443
0.043,-0.405,-0.182,0.782,1.400,-0.000,0.001,-0.000,0.162,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.467
0.053,-0.407,-0.181,0.782,1.400,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.349
0.056,-0.406,-0.182,0.782,1.399,-0.000,0.001,-0.000,0.163,0.072,-0.313,-0.000,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.356
0.064,-0.406,-0.182,0.782,1.399,-0.000,0.001,0.000,0.163,0.072,-0.313,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.350
0.071,-0.406,-0.182,0.782,1.398,-0.000,0.000,0.000,0.163,0.072,-0.313,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.317
0.072,-0.406,-0.182,0.782,1.398,0.000,0.000,0.001,0.162,0.073,-0.313,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.323
0.081,-0.407,-0.182,0.782,1.399,-0.000,0.001,0.000,0.163,0.072,-0.313,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.317
0.097,-0.406,-0.182,0.782,1.398,-0.001,0.002,0.001,0.163,0.072,-0.314,-0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.316
0.107,-0.408,-0.181,0.782,1.398,-0.001,0.000,0.002,0.164,0.072,-0.314,-0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.060,0.090,49.213
