TIME, eR_1, eR_2, eR_3, Psi, eW_1, eW_2, eW_3, u_1, u_2, u_3, W_1, W_2, W_3, Wd_1, Wd_2, Wd_3, D_1, D_1, D_1, D_true_1, D_true_2, D_true_3, ang_con_1, ang_con_2, ang_con_3, ang_con_4
0.000,0.000,0.178,-0.656,2.120,0.000,0.000,0.000,0.000,-0.071,0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,0.200,55.578,136.623,72.846,79.328
0.010,0.001,0.178,-0.655,2.119,0.278,0.176,0.384,-0.082,-0.124,0.148,0.278,0.176,0.384,0.000,0.000,0.000,0.001,0.001,-0.002,0.200,0.200,0.200,55.460,136.709,72.940,79.271
0.020,0.003,0.177,-0.651,2.116,0.441,0.282,0.673,-0.131,-0.156,0.061,0.441,0.282,0.673,0.000,0.000,0.000,0.003,0.003,-0.003,0.200,0.200,0.200,55.147,136.926,73.194,79.135
0.030,0.006,0.176,-0.645,2.111,0.536,0.345,0.889,-0.159,-0.175,-0.005,0.536,0.345,0.889,0.000,0.000,0.000,0.005,0.006,-0.002,0.200,0.200,0.200,54.688,137.225,73.573,78.952
0.040,0.009,0.175,-0.636,2.106,0.590,0.383,1.050,-0.176,-0.186,-0.056,0.590,0.383,1.050,0.000,0.000,0.000,0.008,0.009,-0.001,0.200,0.200,0.200,54.120,137.574,74.049,78.745
0.050,0.013,0.174,-0.625,2.099,0.619,0.406,1.167,-0.186,-0.193,-0.095,0.619,0.406,1.167,0.000,0.000,0.000,0.011,0.011,0.002,0.200,0.200,0.200,53.471,137.952,74.600,78.526
0.060,0.017,0.173,-0.610,2.093,0.634,0.420,1.252,-0.192,-0.198,-0.126,0.634,0.420,1.252,0.000,0.000,0.000,0.014,0.014,0.005,0.200,0.200,0.200,52.763,138.343,75.206,78.303
0.070,0.021,0.172,-0.592,2.086,0.641,0.429,1.310,-0.195,-0.200,-0.151,0.641,0.429,1.310,0.000,0.000,0.000,0.018,0.017,0.008,0.200,0.200,0.200,52.014,138.738,75.853,78.081
0.080,0.025,0.172,-0.570,2.079,0.643,0.435,1.347,-0.197,-0.202,-0.171,0.643,0.435,1.347,0.000,0.000,0.000,0.021,0.020,0.012,0.200,0.200,0.200,51.237,139.128,76.528,77.862
0.090,0.030,0.173,-0.542,2.072,0.641,0.438,1.367,-0.199,-0.203,-0.188,0.641,0.438,1.367,0.000,0.000,0.000,0.024,0.023,0.016,0.200,0.200,0.200,50.442,139.510,77.223,77.649
