NORMALIZED_TIME, INERTIAL_X, INERTIAL_Y, INERTIAL_Z, ASTEROID_X, ASTEROID_Y, ASTEROID_Z, RADIUS
 0.000, 2.999,-0.000,-0.000, 2.999,-0.000,-0.000, 2.999
 0.001, 2.916,-0.007, 0.004, 2.915,-0.011, 0.004, 2.916
 0.001, 2.731,-0.033, 0.016, 2.731,-0.040, 0.016, 2.731
 0.002, 2.491,-0.069, 0.034, 2.491,-0.078, 0.034, 2.492
 0.003, 2.231,-0.110, 0.055, 2.230,-0.121, 0.055, 2.234
 0.003, 1.975,-0.151, 0.076, 1.974,-0.163, 0.076, 1.982
 0.004, 1.739,-0.190, 0.095, 1.738,-0.202, 0.095, 1.752
 0.005, 1.534,-0.223, 0.113, 1.532,-0.236, 0.113, 1.554
 0.005, 1.363,-0.252, 0.127, 1.360,-0.265, 0.127, 1.391
 0.006, 1.225,-0.277, 0.139, 1.222,-0.290, 0.139, 1.264
 0.007, 1.119,-0.302, 0.146, 1.115,-0.315, 0.146, 1.168
 0.007, 1.039,-0.326, 0.153, 1.035,-0.340, 0.153, 1.100
 0.008, 0.982,-0.350, 0.165, 0.977,-0.363, 0.165, 1.056
 0.009, 0.941,-0.369, 0.188, 0.935,-0.383, 0.188, 1.028
 0.009, 0.912,-0.382, 0.223, 0.906,-0.397, 0.223, 1.014
 0.010, 0.894,-0.391, 0.262, 0.887,-0.407, 0.262, 1.010
 0.011, 0.884,-0.395, 0.303, 0.876,-0.412, 0.303, 1.014
 0.011, 0.879,-0.397, 0.341, 0.871,-0.415, 0.341, 1.023
 0.012, 0.878,-0.398, 0.378, 0.869,-0.416, 0.378, 1.035
 0.013, 0.876,-0.398, 0.414, 0.867,-0.417, 0.414, 1.048
 0.013, 0.874,-0.398, 0.447, 0.865,-0.419, 0.447, 1.060
 0.014, 0.871,-0.397, 0.480, 0.861,-0.418, 0.480, 1.071
 0.015, 0.866,-0.397, 0.510, 0.855,-0.419, 0.510, 1.081
 0.015, 0.858,-0.397, 0.539, 0.847,-0.420, 0.539, 1.088
 0.016, 0.847,-0.396, 0.567, 0.836,-0.420, 0.567, 1.094
 0.017, 0.835,-0.394, 0.595, 0.823,-0.418, 0.595, 1.098
 0.017, 0.822,-0.388, 0.621, 0.810,-0.413, 0.621, 1.101
 0.018, 0.809,-0.381, 0.647, 0.796,-0.406, 0.647, 1.103
 0.019, 0.792,-0.375, 0.671, 0.780,-0.400, 0.671, 1.104
 0.019, 0.776,-0.367, 0.695, 0.763,-0.393, 0.695, 1.104
 0.020, 0.758,-0.358, 0.719, 0.745,-0.385, 0.719, 1.104
 0.021, 0.738,-0.352, 0.741, 0.725,-0.378, 0.741, 1.104
 0.021, 0.716,-0.350, 0.763, 0.702,-0.377, 0.763, 1.103
 0.022, 0.692,-0.354, 0.781, 0.678,-0.381, 0.781, 1.102
 0.023, 0.669,-0.365, 0.796, 0.654,-0.391, 0.796, 1.102
 0.023, 0.647,-0.380, 0.806, 0.630,-0.406, 0.806, 1.101
 0.024, 0.627,-0.399, 0.811, 0.610,-0.425, 0.811, 1.100
 0.025, 0.610,-0.421, 0.812, 0.591,-0.447, 0.812, 1.099
 0.025, 0.593,-0.443, 0.812, 0.572,-0.469, 0.812, 1.099
 0.026, 0.575,-0.467, 0.811, 0.553,-0.493, 0.811, 1.099
 0.027, 0.557,-0.490, 0.810, 0.534,-0.516, 0.810, 1.098
 0.027, 0.538,-0.513, 0.808, 0.513,-0.538, 0.808, 1.098
 0.028, 0.518,-0.534, 0.808, 0.491,-0.559, 0.808, 1.098
 0.029, 0.497,-0.556, 0.807, 0.468,-0.580, 0.807, 1.098
 0.029, 0.476,-0.578, 0.804, 0.446,-0.601, 0.804, 1.099
 0.030, 0.456,-0.600, 0.799, 0.424,-0.623, 0.799, 1.099
 0.031, 0.436,-0.620, 0.795, 0.402,-0.643, 0.795, 1.099
 0.031, 0.415,-0.640, 0.792, 0.379,-0.662, 0.792, 1.099
 0.032, 0.394,-0.660, 0.786, 0.356,-0.681, 0.786, 1.099
 0.033, 0.373,-0.681, 0.778, 0.334,-0.701, 0.778, 1.099
 0.033, 0.350,-0.701, 0.771, 0.308,-0.720, 0.771, 1.099
 0.034, 0.325,-0.717, 0.766, 0.282,-0.736, 0.766, 1.099
 0.035, 0.298,-0.731, 0.765, 0.253,-0.748, 0.765, 1.099
 0.035, 0.269,-0.742, 0.764, 0.223,-0.757, 0.764, 1.099
 0.036, 0.239,-0.753, 0.763, 0.191,-0.767, 0.763, 1.099
