NORMALIZED_TIME, NORMALIZED_UNCERTAINTY
 0.000, 1.000
 0.001, 0.885
 0.001, 0.885
 0.002, 0.872
 0.003, 0.855
 0.003, 0.837
 0.004, 0.836
 0.005, 0.836
 0.005, 0.836
 0.006, 0.835
 0.007, 0.834
 0.007, 0.834
 0.008, 0.833
 0.009, 0.832
 0.009, 0.832
 0.010, 0.832
 0.011, 0.831
 0.011, 0.831
 0.012, 0.830
 0.013, 0.830
 0.013, 0.828
 0.014, 0.828
 0.015, 0.826
 0.015, 0.825
 0.016, 0.824
 0.017, 0.823
 0.017, 0.822
 0.018, 0.821
 0.019, 0.820
 0.019, 0.819
 0.020, 0.819
 0.021, 0.816
 0.021, 0.813
 0.022, 0.809
 0.023, 0.807
 0.023, 0.803
 0.024, 0.803
 0.025, 0.802
 0.025, 0.801
 0.026, 0.800
 0.027, 0.799
 0.027, 0.799
 0.028, 0.796
 0.029, 0.795
 0.029, 0.793
 0.030, 0.792
 0.031, 0.789
 0.031, 0.788
 0.032, 0.787
 0.033, 0.786
 0.033, 0.785
 0.034, 0.780
 0.035, 0.780
 0.035, 0.779
 0.036, 0.779
 0.037, 0.774
 0.037, 0.773
 0.038, 0.772
 0.039, 0.768
 0.039, 0.767
 0.040, 0.766
 0.041, 0.764
 0.041, 0.763
 0.042, 0.762
 0.043, 0.760
 0.043, 0.759
 0.044, 0.757
 0.045, 0.755
 0.045, 0.755
 0.046, 0.754
 0.047, 0.751
 0.047, 0.751
 0.048, 0.750
 0.049, 0.748
 0.049, 0.747
 0.050, 0.745
 0.051, 0.743
 0.051, 0.740
 0.052, 0.739
 0.053, 0.739
 0.053, 0.734
 0.054, 0.732
 0.055, 0.731
 0.055, 0.730
 0.056, 0.728
 0.057, 0.728
 0.057, 0.727
 0.058, 0.726
 0.059, 0.724
 0.059, 0.723
 0.060, 0.722
 0.061, 0.720
 0.061, 0.719
 0.062, 0.717
 0.063, 0.716
 0.063, 0.713
 0.064, 0.712
 0.065, 0.710
 0.065, 0.709
 0.066, 0.708
 0.067, 0.706
 0.067, 0.705
 0.068, 0.703
 0.069, 0.700
 0.069, 0.698
 0.070, 0.696
 0.071, 0.694
 0.071, 0.693
 0.072, 0.691
 0.073, 0.691
 0.073, 0.690
 0.074, 0.685
 0.075, 0.685
 0.075, 0.684
 0.076, 0.683
 0.077, 0.681
 0.077, 0.680
 0.078, 0.680
 0.079, 0.673
 0.079, 0.673
 0.080, 0.672
 0.081, 0.671
 0.081, 0.665
 0.082, 0.661
 0.083, 0.659
 0.083, 0.659
 0.084, 0.658
 0.085, 0.656
 0.085, 0.656
 0.086, 0.655
 0.087, 0.655
 0.087, 0.653
 0.088, 0.651
 0.089, 0.651
 0.089, 0.650
 0.090, 0.646
 0.091, 0.644
 0.091, 0.641
 0.092, 0.639
 0.093, 0.637
 0.093, 0.637
 0.094, 0.635
 0.095, 0.635
 0.095, 0.634
 0.096, 0.634
 0.097, 0.633
 0.097, 0.632
 0.098, 0.632
 0.099, 0.632
 0.099, 0.630
 0.100, 0.629
 0.101, 0.628
 0.101, 0.628
 0.102, 0.627
 0.103, 0.626
 0.103, 0.626
 0.104, 0.626
 0.105, 0.625
 0.105, 0.625
 0.106, 0.625
 0.107, 0.624
 0.107, 0.624
 0.108, 0.623
 0.109, 0.623
 0.109, 0.622
 0.110, 0.622
 0.111, 0.622
 0.111, 0.621
 0.112, 0.621
 0.113, 0.620
 0.113, 0.619
 0.114, 0.618
 0.115, 0.618
 0.115, 0.617
 0.116, 0.616
 0.117, 0.615
 0.117, 0.615
 0.118, 0.614
 0.119, 0.612
 0.119, 0.612
 0.120, 0.611
 0.121, 0.607
 0.121, 0.606
 0.122, 0.606
 0.123, 0.605
 0.123, 0.604
 0.124, 0.604
 0.125, 0.604
 0.125, 0.604
 0.126, 0.603
 0.127, 0.601
 0.127, 0.599
 0.128, 0.598
 0.129, 0.598
 0.129, 0.598
 0.130, 0.596
 0.131, 0.596
 0.131, 0.596
 0.132, 0.595
 0.133, 0.594
 0.133, 0.594
 0.134, 0.592
 0.135, 0.587
 0.135, 0.587
 0.136, 0.586
 0.137, 0.585
 0.137, 0.583
 0.138, 0.579
 0.139, 0.578
 0.139, 0.576
 0.140, 0.576
 0.141, 0.574
 0.141, 0.572
 0.142, 0.571
 0.143, 0.571
 0.143, 0.569
 0.144, 0.569
 0.145, 0.568
 0.145, 0.566
 0.146, 0.566
 0.147, 0.562
 0.147, 0.560
 0.148, 0.560
 0.149, 0.559
 0.149, 0.557
 0.150, 0.557
 0.151, 0.556
 0.151, 0.553
 0.152, 0.551
 0.153, 0.549
 0.153, 0.549
 0.154, 0.547
 0.155, 0.546
 0.155, 0.543
 0.156, 0.542
 0.157, 0.542
 0.157, 0.540
 0.158, 0.538
 0.159, 0.535
 0.159, 0.534
 0.160, 0.533
 0.161, 0.529
 0.161, 0.529
 0.162, 0.525
 0.163, 0.522
 0.163, 0.522
 0.164, 0.518
 0.165, 0.517
 0.165, 0.517
 0.166, 0.516
 0.167, 0.514
 0.167, 0.513
 0.168, 0.512
 0.169, 0.509
 0.169, 0.508
 0.170, 0.508
 0.171, 0.508
 0.171, 0.507
 0.172, 0.506
 0.173, 0.506
 0.173, 0.506
 0.174, 0.505
 0.175, 0.505
 0.175, 0.505
 0.176, 0.504
 0.177, 0.503
 0.177, 0.502
 0.178, 0.502
 0.179, 0.500
 0.179, 0.500
 0.180, 0.497
 0.181, 0.496
 0.181, 0.494
 0.182, 0.493
 0.183, 0.492
 0.183, 0.491
 0.184, 0.489
 0.185, 0.488
 0.185, 0.487
 0.186, 0.484
 0.187, 0.483
 0.187, 0.482
 0.188, 0.480
 0.189, 0.474
 0.189, 0.472
 0.190, 0.472
 0.191, 0.471
 0.191, 0.468
 0.192, 0.467
 0.193, 0.465
 0.193, 0.461
 0.194, 0.459
 0.195, 0.457
 0.195, 0.457
 0.196, 0.455
 0.197, 0.454
 0.197, 0.453
 0.198, 0.452
 0.199, 0.448
 0.199, 0.448
 0.200, 0.447
 0.201, 0.445
 0.201, 0.442
 0.202, 0.442
 0.203, 0.441
 0.203, 0.439
 0.204, 0.439
 0.205, 0.438
 0.205, 0.432
 0.206, 0.431
 0.207, 0.431
 0.207, 0.428
 0.208, 0.428
 0.209, 0.426
 0.209, 0.426
 0.210, 0.420
 0.211, 0.420
 0.211, 0.419
 0.212, 0.415
 0.213, 0.414
 0.213, 0.414
 0.214, 0.413
 0.215, 0.411
 0.215, 0.410
 0.216, 0.405
 0.217, 0.405
 0.217, 0.404
 0.218, 0.402
 0.219, 0.402
 0.219, 0.399
 0.220, 0.399
 0.221, 0.398
 0.221, 0.397
 0.222, 0.397
 0.223, 0.396
 0.223, 0.395
 0.224, 0.392
 0.225, 0.390
 0.225, 0.389
 0.226, 0.387
 0.227, 0.384
 0.227, 0.383
 0.228, 0.383
 0.229, 0.381
 0.229, 0.380
 0.230, 0.378
 0.231, 0.378
 0.231, 0.376
 0.232, 0.376
 0.233, 0.374
 0.233, 0.371
 0.234, 0.370
 0.235, 0.370
 0.235, 0.366
 0.236, 0.366
 0.237, 0.364
 0.237, 0.364
 0.238, 0.364
 0.239, 0.364
 0.239, 0.364
 0.240, 0.363
 0.241, 0.363
 0.241, 0.363
 0.242, 0.363
 0.243, 0.363
 0.243, 0.363
 0.244, 0.363
 0.245, 0.362
 0.245, 0.362
 0.246, 0.362
 0.247, 0.362
 0.247, 0.362
 0.248, 0.361
 0.249, 0.361
 0.249, 0.361
 0.250, 0.360
 0.251, 0.360
 0.251, 0.359
 0.252, 0.358
 0.253, 0.356
 0.253, 0.355
 0.254, 0.355
 0.255, 0.350
 0.255, 0.349
 0.256, 0.348
 0.257, 0.347
 0.257, 0.346
 0.258, 0.345
 0.259, 0.344
 0.259, 0.344
 0.260, 0.342
 0.261, 0.340
 0.261, 0.340
 0.262, 0.338
 0.263, 0.337
 0.263, 0.335
 0.264, 0.334
 0.265, 0.332
 0.265, 0.332
 0.266, 0.329
 0.267, 0.328
 0.267, 0.326
 0.268, 0.324
 0.269, 0.323
 0.269, 0.322
 0.270, 0.321
 0.271, 0.318
 0.271, 0.317
 0.272, 0.315
 0.273, 0.315
 0.273, 0.314
 0.274, 0.313
 0.275, 0.312
 0.275, 0.309
 0.276, 0.309
 0.277, 0.306
 0.277, 0.306
 0.278, 0.304
 0.279, 0.303
 0.279, 0.301
 0.280, 0.300
 0.281, 0.299
 0.281, 0.299
 0.282, 0.292
 0.283, 0.290
 0.283, 0.290
 0.284, 0.289
 0.285, 0.288
 0.285, 0.287
 0.286, 0.285
 0.287, 0.284
 0.287, 0.281
 0.288, 0.280
 0.289, 0.275
 0.289, 0.273
 0.290, 0.273
 0.291, 0.272
 0.291, 0.271
 0.292, 0.267
 0.293, 0.262
 0.293, 0.260
 0.294, 0.260
 0.295, 0.259
 0.295, 0.258
 0.296, 0.256
 0.297, 0.255
 0.297, 0.254
 0.298, 0.252
 0.299, 0.249
 0.299, 0.247
 0.300, 0.245
 0.301, 0.243
 0.301, 0.242
 0.302, 0.241
 0.303, 0.241
 0.303, 0.239
 0.304, 0.238
 0.305, 0.235
 0.305, 0.235
 0.306, 0.233
 0.307, 0.232
 0.307, 0.230
 0.308, 0.229
 0.309, 0.229
 0.309, 0.224
 0.310, 0.223
 0.311, 0.222
 0.311, 0.221
 0.312, 0.218
 0.313, 0.218
 0.313, 0.216
 0.314, 0.216
 0.315, 0.210
 0.315, 0.209
 0.316, 0.207
 0.317, 0.207
 0.317, 0.207
 0.318, 0.207
 0.319, 0.207
 0.319, 0.207
 0.320, 0.207
 0.321, 0.207
 0.321, 0.206
 0.322, 0.206
 0.323, 0.205
 0.323, 0.204
 0.324, 0.204
 0.325, 0.203
 0.325, 0.203
 0.326, 0.201
 0.327, 0.199
 0.327, 0.199
 0.328, 0.199
 0.329, 0.197
 0.329, 0.197
 0.330, 0.196
 0.331, 0.196
 0.331, 0.196
 0.332, 0.195
 0.333, 0.195
 0.333, 0.194
 0.334, 0.193
 0.335, 0.193
 0.335, 0.192
 0.336, 0.190
 0.337, 0.189
 0.337, 0.188
 0.338, 0.188
 0.339, 0.186
 0.339, 0.185
 0.340, 0.184
 0.341, 0.184
 0.341, 0.182
 0.342, 0.181
 0.343, 0.179
 0.343, 0.177
 0.344, 0.175
 0.345, 0.174
 0.345, 0.174
 0.346, 0.174
 0.347, 0.172
 0.347, 0.172
 0.348, 0.170
 0.349, 0.170
 0.349, 0.169
 0.350, 0.166
 0.351, 0.164
 0.351, 0.164
 0.352, 0.163
 0.353, 0.161
 0.353, 0.159
 0.354, 0.155
 0.355, 0.153
 0.355, 0.152
 0.356, 0.150
 0.357, 0.150
 0.357, 0.148
 0.358, 0.148
 0.359, 0.148
 0.359, 0.147
 0.360, 0.147
 0.361, 0.147
 0.361, 0.146
 0.362, 0.146
 0.363, 0.145
 0.363, 0.145
 0.364, 0.144
 0.365, 0.144
 0.365, 0.143
 0.366, 0.141
 0.367, 0.140
 0.367, 0.140
 0.368, 0.138
 0.369, 0.136
 0.369, 0.135
 0.370, 0.135
 0.371, 0.135
 0.371, 0.135
 0.372, 0.134
 0.373, 0.133
 0.373, 0.132
 0.374, 0.132
 0.375, 0.130
 0.375, 0.129
 0.376, 0.129
 0.377, 0.128
 0.377, 0.126
 0.378, 0.125
 0.379, 0.123
 0.379, 0.121
 0.380, 0.121
 0.381, 0.119
 0.381, 0.119
 0.382, 0.117
 0.383, 0.115
 0.383, 0.114
 0.384, 0.112
 0.385, 0.112
 0.385, 0.110
 0.386, 0.110
 0.387, 0.106
 0.387, 0.104
 0.388, 0.103
 0.389, 0.103
 0.389, 0.101
 0.390, 0.099
 0.391, 0.096
 0.391, 0.093
 0.392, 0.092
 0.393, 0.092
 0.393, 0.092
 0.394, 0.092
 0.395, 0.092
 0.395, 0.091
 0.396, 0.091
 0.397, 0.090
 0.397, 0.090
 0.398, 0.089
 0.399, 0.087
 0.399, 0.087
 0.400, 0.087
 0.401, 0.087
 0.401, 0.086
 0.402, 0.086
 0.403, 0.086
 0.403, 0.085
 0.404, 0.084
 0.405, 0.084
 0.405, 0.084
 0.406, 0.084
 0.407, 0.084
 0.407, 0.083
 0.408, 0.083
 0.409, 0.082
 0.409, 0.082
 0.410, 0.082
 0.411, 0.081
 0.411, 0.080
 0.412, 0.079
 0.413, 0.079
 0.413, 0.079
 0.414, 0.079
 0.415, 0.079
 0.415, 0.079
 0.416, 0.079
 0.417, 0.079
 0.417, 0.079
 0.418, 0.078
 0.419, 0.077
 0.419, 0.074
 0.420, 0.074
 0.421, 0.073
 0.421, 0.073
 0.422, 0.072
 0.423, 0.070
 0.423, 0.070
 0.424, 0.069
 0.425, 0.068
 0.425, 0.068
 0.426, 0.068
 0.427, 0.068
 0.427, 0.067
 0.428, 0.067
 0.429, 0.066
 0.429, 0.066
 0.430, 0.064
 0.431, 0.063
 0.431, 0.063
 0.432, 0.062
 0.433, 0.060
 0.433, 0.060
 0.434, 0.060
 0.435, 0.060
 0.435, 0.059
 0.436, 0.059
 0.437, 0.059
 0.437, 0.059
 0.438, 0.059
 0.439, 0.058
 0.439, 0.058
 0.440, 0.058
 0.441, 0.057
 0.441, 0.057
 0.442, 0.057
 0.443, 0.057
 0.443, 0.056
 0.444, 0.056
 0.445, 0.056
 0.445, 0.056
 0.446, 0.056
 0.447, 0.056
 0.447, 0.056
 0.448, 0.056
 0.449, 0.056
 0.449, 0.056
 0.450, 0.055
 0.451, 0.055
 0.451, 0.055
 0.452, 0.055
 0.453, 0.054
 0.453, 0.054
 0.454, 0.054
 0.455, 0.054
 0.455, 0.054
 0.456, 0.053
 0.457, 0.053
 0.457, 0.053
 0.458, 0.053
 0.459, 0.053
 0.459, 0.053
 0.460, 0.052
 0.461, 0.052
 0.461, 0.052
 0.462, 0.052
 0.463, 0.051
 0.463, 0.051
 0.464, 0.051
 0.465, 0.050
 0.465, 0.050
 0.466, 0.049
 0.467, 0.049
 0.467, 0.048
 0.468, 0.048
 0.469, 0.048
 0.469, 0.047
 0.470, 0.047
 0.471, 0.046
 0.471, 0.046
 0.472, 0.045
 0.473, 0.045
 0.473, 0.045
 0.474, 0.045
 0.475, 0.045
 0.475, 0.044
 0.476, 0.044
 0.477, 0.044
 0.477, 0.044
 0.478, 0.044
 0.479, 0.044
 0.479, 0.044
 0.480, 0.044
 0.481, 0.044
 0.481, 0.044
 0.482, 0.044
 0.483, 0.043
 0.483, 0.043
 0.484, 0.043
 0.485, 0.043
 0.485, 0.043
 0.486, 0.042
 0.487, 0.042
 0.487, 0.041
 0.488, 0.041
 0.489, 0.041
 0.489, 0.040
 0.490, 0.040
 0.491, 0.040
 0.491, 0.040
 0.492, 0.040
 0.493, 0.040
 0.493, 0.040
 0.494, 0.040
 0.495, 0.040
 0.495, 0.040
 0.496, 0.037
 0.497, 0.037
 0.497, 0.035
 0.498, 0.034
 0.499, 0.034
 0.499, 0.034
 0.500, 0.033
 0.501, 0.033
 0.501, 0.033
 0.502, 0.033
 0.503, 0.032
 0.503, 0.032
 0.504, 0.032
 0.505, 0.031
 0.505, 0.031
 0.506, 0.030
 0.507, 0.030
 0.507, 0.029
 0.508, 0.027
 0.509, 0.026
 0.509, 0.024
 0.510, 0.024
 0.511, 0.023
 0.511, 0.023
 0.512, 0.023
 0.513, 0.023
 0.513, 0.023
 0.514, 0.023
 0.515, 0.023
 0.515, 0.023
 0.516, 0.023
 0.517, 0.023
 0.517, 0.023
 0.518, 0.022
 0.519, 0.021
 0.519, 0.021
 0.520, 0.020
 0.521, 0.019
 0.521, 0.018
 0.522, 0.017
 0.523, 0.016
 0.523, 0.015
 0.524, 0.013
 0.525, 0.012
 0.525, 0.011
 0.526, 0.011
 0.527, 0.011
 0.527, 0.010
 0.528, 0.010
 0.529, 0.010
 0.529, 0.009
 0.530, 0.008
 0.531, 0.007
 0.531, 0.007
 0.532, 0.007
 0.533, 0.006
 0.533, 0.005
 0.534, 0.004
 0.535, 0.003
 0.535, 0.003
 0.536, 0.002
 0.537, 0.001
 0.537, 0.001
 0.538, 0.001
 0.539, 0.001
 0.539, 0.001
 0.540, 0.001
 0.541, 0.001
 0.541, 0.001
 0.542, 0.000
 0.543, 0.000
 0.543, 0.000
 0.544, 0.000
 0.545, 0.000
 0.545, 0.000
 0.546, 0.000
 0.547, 0.000
 0.547, 0.000
 0.548, 0.000
 0.549, 0.000
 0.549, 0.000
 0.550, 0.000
 0.551, 0.000
 0.551, 0.000
 0.552, 0.000
 0.553, 0.000
 0.553, 0.000
 0.554, 0.000
 0.555, 0.000
 0.555, 0.000
 0.556, 0.000
 0.557, 0.000
 0.557, 0.000
 0.558, 0.000
 0.559, 0.000
 0.559, 0.000
 0.560, 0.000
 0.561, 0.000
 0.561, 0.000
 0.562, 0.000
 0.563, 0.000
 0.563, 0.000
 0.564, 0.000
 0.565, 0.000
 0.565, 0.000
