NORMALIZED_TIME, VOLUME_PERCENT_ERROR
 0.000,35.997
 0.001,30.888
 0.001,30.888
 0.002,31.148
 0.003,30.862
 0.003,30.321
 0.004,30.118
 0.005,29.956
 0.005,29.871
 0.006,29.769
 0.007,29.767
 0.007,29.769
 0.008,29.769
 0.009,29.783
 0.009,29.824
 0.010,29.888
 0.011,29.905
 0.011,29.872
 0.012,29.819
 0.013,29.782
 0.013,29.685
 0.014,29.671
 0.015,29.543
 0.015,29.494
 0.016,29.455
 0.017,29.349
 0.017,29.248
 0.018,29.215
 0.019,29.122
 0.019,29.098
 0.020,29.078
 0.021,28.942
 0.021,28.841
 0.022,28.697
 0.023,28.666
 0.023,28.589
 0.024,28.603
 0.025,28.592
 0.025,28.557
 0.026,28.558
 0.027,28.505
 0.027,28.506
 0.028,28.416
 0.029,28.391
 0.029,28.340
 0.030,28.299
 0.031,28.241
 0.031,28.204
 0.032,28.181
 0.033,28.144
 0.033,28.136
 0.034,28.038
 0.035,28.038
 0.035,27.985
 0.036,27.975
 0.037,27.870
 0.037,27.814
 0.038,27.725
 0.039,27.705
 0.039,27.686
 0.040,27.640
 0.041,27.610
 0.041,27.584
 0.042,27.563
 0.043,27.492
 0.043,27.379
 0.044,27.289
 0.045,27.148
 0.045,27.147
 0.046,27.062
 0.047,26.894
 0.047,26.861
 0.048,26.822
 0.049,26.732
 0.049,26.671
 0.050,26.507
 0.051,26.353
 0.051,26.110
 0.052,26.097
 0.053,26.077
 0.053,25.852
 0.054,25.809
 0.055,25.781
 0.055,25.754
 0.056,25.707
 0.057,25.713
 0.057,25.716
 0.058,25.632
 0.059,25.633
 0.059,25.616
 0.060,25.628
 0.061,25.606
 0.061,25.592
 0.062,25.546
 0.063,25.543
 0.063,25.479
 0.064,25.489
 0.065,25.493
 0.065,25.453
 0.066,25.428
 0.067,25.391
 0.067,25.335
 0.068,25.217
 0.069,25.167
 0.069,25.128
 0.070,25.009
 0.071,24.897
 0.071,24.873
 0.072,24.840
 0.073,24.815
 0.073,24.800
 0.074,24.722
 0.075,24.714
 0.075,24.698
 0.076,24.687
 0.077,24.642
 0.077,24.649
 0.078,24.623
 0.079,24.483
 0.079,24.478
 0.080,24.429
 0.081,24.407
 0.081,24.102
 0.082,23.838
 0.083,23.716
 0.083,23.721
 0.084,23.645
 0.085,23.573
 0.085,23.569
 0.086,23.492
 0.087,23.463
 0.087,23.365
 0.088,23.290
 0.089,23.245
 0.089,23.201
 0.090,23.025
 0.091,22.927
 0.091,22.838
 0.092,22.780
 0.093,22.757
 0.093,22.749
 0.094,22.730
 0.095,22.759
 0.095,22.783
 0.096,22.798
 0.097,22.807
 0.097,22.807
 0.098,22.811
 0.099,22.821
 0.099,22.805
 0.100,22.799
 0.101,22.790
 0.101,22.797
 0.102,22.788
 0.103,22.800
 0.103,22.801
