NORMALIZED_TIME, INERTIAL_X, INERTIAL_Y, INERTIAL_Z, ASTEROID_X, ASTEROID_Y, ASTEROID_Z, RADIUS
 0.000, 1.500, 0.000,-0.000, 1.500,-0.001,-0.000, 1.500
 0.000, 1.500, 0.000,-0.000, 1.500,-0.001,-0.000, 1.500
 0.000, 1.500,-0.000,-0.000, 1.500,-0.002,-0.000, 1.500
 0.000, 1.501,-0.000,-0.000, 1.501,-0.003,-0.000, 1.501
 0.000, 1.501,-0.001,-0.000, 1.501,-0.004,-0.000, 1.501
 0.000, 1.501,-0.002,-0.000, 1.501,-0.006,-0.000, 1.501
 0.000, 1.502,-0.003,-0.000, 1.502,-0.007,-0.000, 1.502
 0.000, 1.502,-0.004, 0.000, 1.502,-0.009, 0.000, 1.502
 0.001, 1.503,-0.005, 0.000, 1.503,-0.011, 0.000, 1.503
 0.001, 1.504,-0.006, 0.000, 1.504,-0.013, 0.000, 1.504
 0.001, 1.504,-0.008, 0.000, 1.504,-0.015, 0.000, 1.504
 0.001, 1.505,-0.010, 0.000, 1.505,-0.017, 0.000, 1.505
 0.001, 1.506,-0.012, 0.000, 1.506,-0.020, 0.000, 1.506
 0.001, 1.507,-0.014, 0.000, 1.506,-0.023, 0.000, 1.507
 0.001, 1.507,-0.016, 0.000, 1.507,-0.025, 0.000, 1.507
 0.001, 1.508,-0.018, 0.001, 1.508,-0.028, 0.001, 1.508
 0.001, 1.509,-0.020, 0.001, 1.509,-0.031, 0.001, 1.509
 0.001, 1.510,-0.023, 0.001, 1.510,-0.035, 0.001, 1.510
 0.001, 1.511,-0.025, 0.001, 1.511,-0.038, 0.001, 1.511
 0.001, 1.512,-0.028, 0.001, 1.512,-0.041, 0.001, 1.512
 0.001, 1.513,-0.031, 0.001, 1.513,-0.045, 0.001, 1.513
 0.001, 1.514,-0.034, 0.001, 1.514,-0.048, 0.001, 1.515
 0.001, 1.515,-0.037, 0.001, 1.515,-0.052, 0.001, 1.516
 0.002, 1.516,-0.040, 0.001, 1.516,-0.055, 0.001, 1.517
 0.002, 1.517,-0.043, 0.001, 1.517,-0.059, 0.001, 1.518
 0.002, 1.519,-0.046, 0.002, 1.518,-0.063, 0.002, 1.519
 0.002, 1.520,-0.049, 0.002, 1.519,-0.066, 0.002, 1.521
 0.002, 1.521,-0.052, 0.002, 1.520,-0.070, 0.002, 1.522
 0.002, 1.522,-0.055, 0.002, 1.521,-0.074, 0.002, 1.523
 0.002, 1.523,-0.059, 0.002, 1.522,-0.078, 0.002, 1.524
 0.002, 1.524,-0.062, 0.002, 1.524,-0.082, 0.002, 1.526
 0.002, 1.526,-0.065, 0.002, 1.525,-0.086, 0.002, 1.527
 0.002, 1.527,-0.068, 0.003, 1.526,-0.090, 0.003, 1.528
 0.002, 1.528,-0.072, 0.003, 1.527,-0.094, 0.003, 1.530
 0.002, 1.529,-0.075, 0.003, 1.528,-0.098, 0.003, 1.531
 0.002, 1.531,-0.079, 0.003, 1.529,-0.102, 0.003, 1.533
 0.002, 1.532,-0.082, 0.003, 1.530,-0.106, 0.003, 1.534
 0.002, 1.533,-0.085, 0.003, 1.531,-0.110, 0.003, 1.535
 0.003, 1.534,-0.089, 0.003, 1.533,-0.114, 0.003, 1.537
 0.003, 1.536,-0.092, 0.004, 1.534,-0.118, 0.004, 1.538
 0.003, 1.537,-0.095, 0.004, 1.535,-0.122, 0.004, 1.540
 0.003, 1.538,-0.099, 0.004, 1.536,-0.127, 0.004, 1.541
 0.003, 1.539,-0.102, 0.004, 1.537,-0.131, 0.004, 1.543
 0.003, 1.541,-0.106, 0.004, 1.538,-0.135, 0.004, 1.544
 0.003, 1.542,-0.109, 0.004, 1.539,-0.139, 0.004, 1.546
 0.003, 1.543,-0.112, 0.004, 1.540,-0.143, 0.004, 1.547
 0.003, 1.544,-0.116, 0.004, 1.542,-0.147, 0.004, 1.549
 0.003, 1.545,-0.119, 0.004, 1.543,-0.151, 0.004, 1.550
 0.003, 1.547,-0.123, 0.004, 1.544,-0.155, 0.004, 1.551
 0.003, 1.548,-0.126, 0.004, 1.545,-0.159, 0.004, 1.553
 0.003, 1.549,-0.129, 0.004, 1.546,-0.163, 0.004, 1.554
 0.003, 1.550,-0.133, 0.004, 1.547,-0.167, 0.004, 1.556
 0.003, 1.551,-0.136, 0.004, 1.548,-0.171, 0.004, 1.557
 0.004, 1.552,-0.139, 0.004, 1.549,-0.175, 0.004, 1.559
 0.004, 1.553,-0.143, 0.004, 1.550,-0.179, 0.004, 1.560
 0.004, 1.554,-0.146, 0.004, 1.550,-0.183, 0.004, 1.561
 0.004, 1.556,-0.149, 0.004, 1.551,-0.187, 0.004, 1.563
 0.004, 1.557,-0.153, 0.004, 1.552,-0.191, 0.004, 1.564
 0.004, 1.558,-0.156, 0.004, 1.553,-0.195, 0.004, 1.565
 0.004, 1.559,-0.159, 0.004, 1.554,-0.199, 0.004, 1.567
 0.004, 1.560,-0.163, 0.004, 1.555,-0.204, 0.004, 1.568
 0.004, 1.561,-0.166, 0.004, 1.556,-0.208, 0.004, 1.569
