NORMALIZED_TIME, NORMALIZED_UNCERTAINTY
0.000000000000000000e+00,1.000000000000000000e+00
6.667555674089879270e-05,9.712187555758848845e-01
1.333511134817975854e-04,9.689651629438537084e-01
2.000266702226963646e-04,9.689626726542462931e-01
2.667022269635951708e-04,9.689616365057044378e-01
3.333777837044939229e-04,9.689610327121928046e-01
4.000533404453927291e-04,9.689602557418107720e-01
4.667288971862914812e-04,9.689598434568490459e-01
5.334044539271903416e-04,9.689595655149610964e-01
6.000800106680890394e-04,9.689593701331886688e-01
6.667555674089878457e-04,9.689592020145264550e-01
7.334311241498866520e-04,9.689590673980221780e-01
8.001066808907854582e-04,9.689588635408641348e-01
8.667822376316842645e-04,9.689587096561140811e-01
9.334577943725829623e-04,9.689585905915178987e-01
1.000133351113481877e-03,9.689584977207165162e-01
1.066808907854380683e-03,9.689584205535098915e-01
1.133484464595279273e-03,9.689583519318176741e-01
1.200160021336178079e-03,9.689582914901654354e-01
1.266835578077076885e-03,9.689581626738931197e-01
1.333511134817975691e-03,9.689580280988485672e-01
1.400186691558874498e-03,9.689579114662882908e-01
1.466862248299773304e-03,9.689578096344545477e-01
1.533537805040672110e-03,9.689577254355292713e-01
1.600213361781570916e-03,9.689573316737636333e-01
1.666888918522469723e-03,9.689571241893140119e-01
1.733564475263368529e-03,9.689569787644916055e-01
1.800240032004267335e-03,9.689568684144763688e-01
1.866915588745165925e-03,9.689567725173784396e-01
1.933591145486064731e-03,9.689564350056409925e-01
2.000266702226963754e-03,9.689559374363141409e-01
2.066942258967862343e-03,9.689556104296035421e-01
2.133617815708761366e-03,9.689552869743136565e-01
2.200293372449659956e-03,9.689548440106173777e-01
2.266968929190558545e-03,9.689545696031262034e-01
2.333644485931457568e-03,9.689540407559348312e-01
2.400320042672356158e-03,9.689535416505826726e-01
2.466995599413255181e-03,9.683566221212944747e-01
2.533671156154153770e-03,9.683555981296666504e-01
2.600346712895052793e-03,9.671336492923425787e-01
2.667022269635951383e-03,9.665149227131446530e-01
2.733697826376850406e-03,9.630461833485854939e-01
2.800373383117748995e-03,9.630440914387726759e-01
2.867048939858648018e-03,9.630431657465473583e-01
2.933724496599546608e-03,9.624505806531669094e-01
3.000400053340445197e-03,9.618832667280819981e-01
3.067075610081344220e-03,9.612715440616357299e-01
3.133751166822242810e-03,9.572399081018423406e-01
3.200426723563141833e-03,9.561191061808236302e-01
3.267102280304040422e-03,9.555608376348277977e-01
3.333777837044939445e-03,9.549537256322550016e-01
3.400453393785838035e-03,9.549536192927723377e-01
3.467128950526737058e-03,9.549534577030748261e-01
3.533804507267635647e-03,9.549529239607320585e-01
3.600480064008534670e-03,9.543551863127578416e-01
3.667155620749433260e-03,9.543546346916916834e-01
3.733831177490331849e-03,9.537508575132458422e-01
3.800506734231230872e-03,9.531825916657470366e-01
3.867182290972129462e-03,9.531819893457730286e-01
3.933857847713028051e-03,9.531817231051826766e-01
4.000533404453927508e-03,9.531811169615569401e-01
4.067208961194826097e-03,9.525930384845266996e-01
4.133884517935724687e-03,9.514288070598481140e-01
4.200560074676623276e-03,9.514286867216887877e-01
4.267235631417522733e-03,9.514285461500967545e-01
4.333911188158421322e-03,9.502947848662662844e-01
4.400586744899319912e-03,9.502936371203811738e-01
4.467262301640218501e-03,9.502931530998824927e-01
4.533937858381117091e-03,9.497021532407554645e-01
4.600613415122016547e-03,9.458696049280754803e-01
4.667288971862915137e-03,9.448099729939817282e-01
4.733964528603813726e-03,9.448082369145975878e-01
4.800640085344712316e-03,9.442430282578674339e-01
4.867315642085611772e-03,9.442420592067828355e-01
4.933991198826510362e-03,9.442416831332766103e-01
5.000666755567408951e-03,9.431375563201175316e-01
5.067342312308307541e-03,9.425577416597790137e-01
