NORMALIZED_TIME, NORMALIZED_UNCERTAINTY
0.000000000000000000e+00,1.000000000000000000e+00
9.680542110358180373e-04,9.952595316621308807e-01
1.936108422071636075e-03,9.905180219029868782e-01
2.904162633107454112e-03,9.867248723693956558e-01
3.872216844143272149e-03,9.829327219973744700e-01
4.840271055179089753e-03,9.791388702573953218e-01
5.808325266214908224e-03,9.753484465296792250e-01
6.776379477250725827e-03,9.734514428648526341e-01
7.744433688286544298e-03,9.706061387645185112e-01
8.712487899322362769e-03,9.668125681372913283e-01
9.680542110358179506e-03,9.658634806741972501e-01
1.064859632139399798e-02,9.620725535916175852e-01
1.161665053242981645e-02,9.592281953571788478e-01
1.258470474346563492e-02,9.563827525907584448e-01
1.355275895450145165e-02,9.554320152359876417e-01
1.452081316553727013e-02,9.535346215685186477e-01
1.548886737657308860e-02,9.516376541102137265e-01
1.645692158760890533e-02,9.478460317739823005e-01
1.742497579864472554e-02,9.468949838059764756e-01
1.839303000968054227e-02,9.421566171318543903e-01
1.936108422071635901e-02,9.383626312999133745e-01
2.032913843175217922e-02,9.336219032353686442e-01
2.129719264278799595e-02,9.298272815763356514e-01
2.226524685382381269e-02,9.260339680773739257e-01
2.323330106485963290e-02,9.231891752862715350e-01
2.420135527589544963e-02,9.203448381729198990e-01
2.516940948693126984e-02,9.165520505533614193e-01
2.613746369796708657e-02,9.137076837751215708e-01
2.710551790900290331e-02,9.108627536981500628e-01
2.807357212003872352e-02,9.061225493617938165e-01
2.904162633107454025e-02,9.032758877973581235e-01
3.000968054211035699e-02,9.013782562063362702e-01
3.097773475314617719e-02,8.994807481617956846e-01
3.194578896418199393e-02,8.985312161115781571e-01
3.291384317521781067e-02,8.966320953966484542e-01
3.388189738625362740e-02,8.937872318476008937e-01
3.484995159728945108e-02,8.918895790605930740e-01
3.581800580832526781e-02,8.890446444678803406e-01
3.678606001936108455e-02,8.861992076186757661e-01
3.775411423039690129e-02,8.833512523288041818e-01
3.872216844143271802e-02,8.795568507564347493e-01
3.969022265246854170e-02,8.767109975132243438e-01
4.065827686350435843e-02,8.729183617452656030e-01
4.162633107454017517e-02,8.700723643404836283e-01
4.259438528557599191e-02,8.662808457871820078e-01
4.356243949661180864e-02,8.634359053975252385e-01
4.453049370764762538e-02,8.596452385581243583e-01
4.549854791868344905e-02,8.549038107996591584e-01
4.646660212971926579e-02,8.530043997454747062e-01
4.743465634075508253e-02,8.501589965270688332e-01
4.840271055179089926e-02,8.454179599985964799e-01
4.937076476282671600e-02,8.416242086757370622e-01
5.033881897386253967e-02,8.378315039345786142e-01
5.130687318489835641e-02,8.340401023406999181e-01
5.227492739593417315e-02,8.330907295375701294e-01
5.324298160696998988e-02,8.311938988231667436e-01
5.421103581800580662e-02,8.292971426988374750e-01
5.517909002904162336e-02,8.283474125576880676e-01
5.614714424007744703e-02,8.255021203036170263e-01
5.711519845111326377e-02,8.226565681715216627e-01
5.808325266214908050e-02,8.198114267408587175e-01
5.905130687318489724e-02,8.160207434028510232e-01
6.001936108422071398e-02,8.141230153077024800e-01
6.098741529525653765e-02,8.122265266394499417e-01
6.195546950629235439e-02,8.093814818238658226e-01
6.292352371732816418e-02,8.055863585793644477e-01
6.389157792836398786e-02,8.036900245987766978e-01
6.485963213939981153e-02,8.017921817783676408e-01
6.582768635043562133e-02,7.998948567916306374e-01
6.679574056147144501e-02,7.989460968841315402e-01
6.776379477250725480e-02,7.961016128228037836e-01
6.873184898354307848e-02,7.923096963207493237e-01
6.969990319457890215e-02,7.894650496111308424e-01
7.066795740561471195e-02,7.856730755936240929e-01
7.163601161665053563e-02,7.828280733120080992e-01
7.260406582768634542e-02,7.790370400686771335e-01
7.357212003872216910e-02,7.761926489960946363e-01
7.454017424975799277e-02,7.742948179678900145e-01
7.550822846079380257e-02,7.714507145180319325e-01
7.647628267182962625e-02,7.676571597056734975e-01
7.744433688286543604e-02,7.638628155947784215e-01
7.841239109390125972e-02,7.600708109041769411e-01
7.938044530493708340e-02,7.562773861505784900e-01
8.034849951597289319e-02,7.534313706423517720e-01
8.131655372700871687e-02,7.524828776091071481e-01
8.228460793804452666e-02,7.505868484008206831e-01
8.325266214908035034e-02,7.477411529866759832e-01
8.422071636011616014e-02,7.458429533468960981e-01
8.518877057115198381e-02,7.448934312904958999e-01
8.615682478218780749e-02,7.411008545587846053e-01
8.712487899322361729e-02,7.373065378821049842e-01
8.809293320425944096e-02,7.325649592511944697e-01
8.906098741529525076e-02,7.287716732436100298e-01
9.002904162633107443e-02,7.249778325836183646e-01
9.099709583736689811e-02,7.221313091361450942e-01
9.196515004840270791e-02,7.183376579859011013e-01
9.293320425943853158e-02,7.145448479308215139e-01
9.390125847047434138e-02,7.116980739303451209e-01
9.486931268151016505e-02,7.097986137699463516e-01
9.583736689254598873e-02,7.069548556624797309e-01
9.680542110358179853e-02,7.050575987528856503e-01
9.777347531461762220e-02,7.031607132781985126e-01
9.874152952565343200e-02,7.003156063028547207e-01
9.970958373668925567e-02,6.974680507505992555e-01
1.006776379477250793e-01,6.955713583275475731e-01
1.016456921587608891e-01,6.917800623828703754e-01
1.026137463697967128e-01,6.889340682191336107e-01
1.035818005808325226e-01,6.851431645185229735e-01
1.045498547918683463e-01,6.832448998314644140e-01
1.055179090029041561e-01,6.813486270974952186e-01
1.064859632139399798e-01,6.804002085736509109e-01
1.074540174249758034e-01,6.775564477892425108e-01
1.084220716360116132e-01,6.747123223396134239e-01
1.093901258470474369e-01,6.718679743555665551e-01
1.103581800580832467e-01,6.699713418701482848e-01
1.113262342691190704e-01,6.680755631312360610e-01
1.122942884801548941e-01,6.671263804475048298e-01
1.132623426911907039e-01,6.633342121471547115e-01
1.142303969022265275e-01,6.604890917069916600e-01
