NORMALIZED_TIME, VOLUME_PERCENT_ERROR
 0.000,35.232
 0.001,34.778
 0.002,34.450
 0.003,34.259
 0.004,34.128
 0.005,34.177
 0.006,34.306
 0.007,34.312
 0.008,34.321
 0.009,34.125
 0.010,34.055
 0.011,33.810
 0.012,33.636
 0.013,33.425
 0.014,33.407
 0.015,33.372
 0.015,33.358
 0.016,33.319
 0.017,33.296
 0.018,33.269
 0.019,33.214
 0.020,33.048
 0.021,32.991
 0.022,32.928
 0.023,32.856
 0.024,32.722
 0.025,32.515
 0.026,32.395
 0.027,32.302
 0.028,32.133
 0.029,32.075
 0.030,32.081
 0.031,32.136
 0.032,32.101
 0.033,31.989
 0.034,31.804
 0.035,31.695
 0.036,31.562
 0.037,31.445
 0.038,31.326
 0.039,31.195
 0.040,31.049
 0.041,30.919
 0.042,30.811
 0.043,30.694
 0.044,30.589
 0.045,30.466
 0.045,30.216
 0.046,30.097
 0.047,29.985
 0.048,29.793
 0.049,29.550
 0.050,29.355
 0.051,29.168
 0.052,29.121
 0.053,29.004
 0.054,28.893
 0.055,28.854
 0.056,28.776
 0.057,28.690
 0.058,28.615
 0.059,28.549
 0.060,28.479
 0.061,28.406
 0.062,28.324
 0.063,28.228
 0.064,28.138
 0.065,28.067
 0.066,27.990
 0.067,27.956
 0.068,27.858
 0.069,27.770
 0.070,27.744
 0.071,27.732
 0.072,27.676
 0.073,27.601
 0.074,27.539
 0.075,27.518
 0.076,27.500
 0.076,27.434
 0.077,27.327
 0.078,27.151
 0.079,26.903
 0.080,26.712
 0.081,26.635
 0.082,26.512
 0.083,26.382
 0.084,26.259
 0.085,26.198
 0.086,26.025
 0.087,25.839
 0.088,25.678
 0.089,25.531
 0.090,25.349
 0.091,25.288
 0.092,25.221
 0.093,25.153
 0.094,25.098
 0.095,25.051
 0.096,24.979
 0.097,24.943
 0.098,24.863
 0.099,24.777
 0.100,24.686
 0.101,24.647
 0.102,24.520
 0.103,24.418
 0.104,24.227
 0.105,24.193
 0.106,24.112
 0.106,24.064
 0.107,23.973
 0.108,23.897
 0.109,23.830
 0.110,23.784
 0.111,23.726
 0.112,23.689
 0.113,23.567
 0.114,23.433
 0.115,23.277
 0.116,23.095
 0.117,22.978
 0.118,22.783
 0.119,22.607
 0.120,22.400
 0.121,22.310
 0.122,22.268
 0.123,22.122
 0.124,22.030
 0.125,21.837
 0.126,21.743
 0.127,21.680
 0.128,21.637
 0.129,21.490
 0.130,21.424
 0.131,21.347
 0.132,21.278
 0.133,21.225
 0.134,21.060
 0.135,20.883
 0.136,20.758
 0.136,20.572
 0.137,20.477
 0.138,20.347
 0.139,20.254
 0.140,20.141
 0.141,20.012
 0.142,19.889
 0.143,19.821
 0.144,19.746
 0.145,19.607
 0.146,19.520
 0.147,19.364
 0.148,19.236
 0.149,19.120
 0.150,19.074
 0.151,18.950
 0.152,18.834
 0.153,18.701
 0.154,18.625
 0.155,18.511
 0.156,18.381
 0.157,18.274
 0.158,18.209
 0.159,18.061
 0.160,17.934
 0.161,17.788
 0.162,17.660
 0.163,17.627
 0.164,17.573
 0.165,17.459
 0.166,17.305
 0.167,17.211
 0.167,17.087
 0.168,16.948
 0.169,16.869
 0.170,16.773
 0.171,16.659
 0.172,16.565
 0.173,16.435
 0.174,16.314
 0.175,16.241
 0.176,16.119
 0.177,15.924
 0.178,15.702
 0.179,15.640
 0.180,15.578
 0.181,15.532
 0.182,15.490
 0.183,15.407
 0.184,15.358
 0.185,15.300
 0.186,15.271
 0.187,15.210
 0.188,15.139
 0.189,15.029
 0.190,14.962
 0.191,14.855
 0.192,14.785
 0.193,14.680
 0.194,14.567
 0.195,14.491
 0.196,14.315
 0.197,14.036
 0.197,13.820
 0.198,13.703
 0.199,13.565
 0.200,13.474
 0.201,13.403
 0.202,13.361
 0.203,13.271
 0.204,13.260
 0.205,13.228
 0.206,13.223
 0.207,13.160
 0.208,13.073
 0.209,12.943
 0.210,12.862
 0.211,12.702
 0.212,12.575
 0.213,12.446
 0.214,12.287
 0.215,12.091
 0.216,12.013
 0.217,11.952
 0.218,11.923
 0.219,11.888
 0.220,11.823
 0.221,11.757
 0.222,11.677
 0.223,11.588
 0.224,11.511
 0.225,11.444
 0.226,11.229
 0.227,11.164
 0.227,11.077
 0.228,11.027
 0.229,10.925
 0.230,10.773
 0.231,10.685
 0.232,10.380
 0.233,10.255
 0.234,10.175
 0.235,10.132
 0.236,10.022
 0.237, 9.950
 0.238, 9.935
 0.239, 9.876
 0.240, 9.769
 0.241, 9.756
 0.242, 9.707
 0.243, 9.687
 0.244, 9.673
 0.245, 9.569
 0.246, 9.522
 0.247, 9.499
 0.248, 9.408
 0.249, 9.265
 0.250, 9.127
 0.251, 9.064
 0.252, 8.933
 0.253, 8.823
 0.254, 8.691
 0.255, 8.508
 0.256, 8.366
 0.257, 8.269
 0.258, 8.204
 0.258, 8.152
 0.259, 8.085
 0.260, 8.025
 0.261, 7.985
 0.262, 7.954
 0.263, 7.815
 0.264, 7.755
 0.265, 7.689
 0.266, 7.641
 0.267, 7.606
 0.268, 7.557
 0.269, 7.511
 0.270, 7.477
 0.271, 7.468
 0.272, 7.440
 0.273, 7.405
 0.274, 7.287
 0.275, 7.160
 0.276, 7.095
 0.277, 7.050
 0.278, 6.970
 0.279, 6.862
 0.280, 6.815
 0.281, 6.757
 0.282, 6.625
 0.283, 6.488
 0.284, 6.457
 0.285, 6.425
 0.286, 6.380
 0.287, 6.298
 0.288, 6.210
 0.288, 6.218
 0.289, 6.195
 0.290, 6.166
 0.291, 6.086
 0.292, 6.052
 0.293, 6.011
 0.294, 5.971
 0.295, 5.955
 0.296, 5.967
 0.297, 5.882
 0.298, 5.733
 0.299, 5.620
 0.300, 5.549
 0.301, 5.492
 0.302, 5.445
 0.303, 5.428
 0.304, 5.414
 0.305, 5.360
 0.306, 5.311
 0.307, 5.250
 0.308, 5.191
 0.309, 5.159
 0.310, 5.090
 0.311, 4.918
 0.312, 4.733
 0.313, 4.628
 0.314, 4.471
 0.315, 4.367
 0.316, 4.327
 0.317, 4.210
 0.318, 4.097
 0.318, 4.003
 0.319, 3.968
 0.320, 3.846
 0.321, 3.750
 0.322, 3.675
 0.323, 3.645
 0.324, 3.610
 0.325, 3.558
 0.326, 3.505
 0.327, 3.433
 0.328, 3.398
 0.329, 3.374
 0.330, 3.349
 0.331, 3.314
 0.332, 3.252
 0.333, 3.108
 0.334, 2.886
 0.335, 2.860
 0.336, 2.808
 0.337, 2.758
 0.338, 2.660
 0.339, 2.601
 0.340, 2.573
 0.341, 2.518
 0.342, 2.472
 0.343, 2.420
 0.344, 2.403
 0.345, 2.282
 0.346, 2.235
 0.347, 2.201
 0.348, 2.139
 0.348, 2.103
 0.349, 2.026
 0.350, 1.985
 0.351, 1.897
 0.352, 1.828
 0.353, 1.704
 0.354, 1.545
 0.355, 1.536
 0.356, 1.505
 0.357, 1.466
 0.358, 1.444
 0.359, 1.399
 0.360, 1.295
 0.361, 1.190
 0.362, 1.103
 0.363, 1.045
 0.364, 0.994
 0.365, 0.922
