NORMALIZED_TIME, NORMALIZED_UNCERTAINTY
0.000000000000000000e+00,1.000000000000000000e+00
1.335291761249833196e-04,9.986717055090668094e-01
2.670583522499666391e-04,9.973394383085961712e-01
4.005875283749499045e-04,9.960141143365214278e-01
5.341167044999332782e-04,9.953510175480794198e-01
6.676458806249165436e-04,9.943623294116248346e-01
8.011750567498998089e-04,9.930628837227983841e-01
9.347042328748831827e-04,9.924088654106548724e-01
1.068233408999866556e-03,9.920804781112586568e-01
1.201762585124849713e-03,9.907700390732526730e-01
1.335291761249833087e-03,9.897966477819993836e-01
1.468820937374816461e-03,9.884945354901519821e-01
1.602350113499799618e-03,9.875253531314970301e-01
1.735879289624782992e-03,9.862359380688207056e-01
1.869408465749766365e-03,9.855991106236626775e-01
2.002937641874749739e-03,9.846415462315283307e-01
2.136466817999733113e-03,9.840015661588346063e-01
2.269995994124716053e-03,9.836814323036902064e-01
2.403525170249699427e-03,9.827376660534804520e-01
2.537054346374682801e-03,9.824175205975562708e-01
2.670583522499666174e-03,9.814550470555549744e-01
2.804112698624649548e-03,9.798816787862651978e-01
2.937641874749632922e-03,9.786146233838866060e-01
3.071171050874616296e-03,9.773447905678320780e-01
3.204700226999599236e-03,9.770247231841352464e-01
3.338229403124582610e-03,9.764016401395652078e-01
3.471758579249565983e-03,9.754641376926150853e-01
3.605287755374549357e-03,9.745249175697116018e-01
3.738816931499532731e-03,9.732915709736866816e-01
3.872346107624516105e-03,9.729811391097915596e-01
4.005875283749499478e-03,9.717523130335663506e-01
4.139404459874482418e-03,9.705295799731591400e-01
4.272933635999466226e-03,9.699175521067825434e-01
4.406462812124449166e-03,9.696084796066238853e-01
4.539991988249432106e-03,9.689893071875195218e-01
4.673521164374415914e-03,9.680633094058873622e-01
4.807050340499398854e-03,9.671484262204521620e-01
4.940579516624382661e-03,9.668405540717764923e-01
5.074108692749365601e-03,9.665346900462356006e-01
5.207637868874349409e-03,9.659442102212482117e-01
5.341167044999332349e-03,9.653582726655022261e-01
5.474696221124315289e-03,9.647653090620310623e-01
5.608225397249299096e-03,9.636165386132777844e-01
5.741754573374282036e-03,9.627477000438393606e-01
5.875283749499265844e-03,9.618822417040876482e-01
6.008812925624248784e-03,9.609804023644965554e-01
6.142342101749232591e-03,9.600765393755613664e-01
6.275871277874215531e-03,9.594639629692176541e-01
6.409400453999198471e-03,9.591519324238367838e-01
6.542929630124182279e-03,9.582350714974037231e-01
6.676458806249165219e-03,9.573171828483689749e-01
6.809987982374149026e-03,9.564032643227959873e-01
6.943517158499131967e-03,9.555062828037804712e-01
7.077046334624115774e-03,9.549100955451231831e-01
7.210575510749098714e-03,9.540367183270290763e-01
7.344104686874081654e-03,9.531566939757429857e-01
7.477633862999065462e-03,9.525704212758352440e-01
7.611163039124048402e-03,9.519917610458162871e-01
7.744692215249032209e-03,9.516971941888696662e-01
