NORMALIZED_TIME, VOLUME_PERCENT_ERROR
 0.000,19.711
 0.000,19.728
 0.000,19.760
 0.000,19.792
 0.001,19.808
 0.001,19.814
 0.001,19.788
 0.001,19.785
 0.001,19.787
 0.001,19.796
 0.001,19.805
 0.001,19.830
 0.002,19.857
 0.002,19.883
 0.002,19.904
 0.002,19.905
 0.002,19.897
 0.002,19.894
 0.002,19.864
 0.003,19.849
 0.003,19.834
 0.003,19.825
 0.003,19.827
 0.003,19.824
 0.003,19.827
 0.003,19.829
 0.003,19.851
 0.004,19.873
 0.004,19.904
 0.004,19.912
 0.004,19.926
 0.004,19.919
 0.004,19.911
 0.004,19.901
 0.005,19.879
 0.005,19.859
 0.005,19.842
 0.005,19.830
 0.005,19.820
 0.005,19.801
 0.005,19.786
 0.005,19.775
 0.006,19.755
 0.006,19.739
 0.006,19.739
 0.006,19.758
 0.006,19.781
 0.006,19.788
 0.006,19.784
 0.007,19.773
 0.007,19.759
 0.007,19.729
 0.007,19.705
 0.007,19.691
 0.007,19.675
 0.007,19.655
 0.007,19.636
 0.008,19.620
 0.008,19.609
 0.008,19.596
 0.008,19.596
 0.008,19.610
 0.008,19.647
 0.008,19.668
 0.009,19.683
 0.009,19.669
 0.009,19.648
 0.009,19.617
 0.009,19.597
 0.009,19.576
 0.009,19.548
 0.009,19.534
 0.010,19.517
 0.010,19.506
 0.010,19.480
 0.010,19.465
 0.010,19.452
 0.010,19.446
 0.010,19.433
 0.011,19.434
 0.011,19.457
 0.011,19.480
 0.011,19.501
 0.011,19.510
 0.011,19.525
 0.011,19.526
 0.011,19.519
 0.012,19.505
 0.012,19.484
 0.012,19.460
 0.012,19.439
 0.012,19.421
 0.012,19.394
 0.012,19.375
 0.013,19.360
 0.013,19.344
 0.013,19.323
 0.013,19.308
 0.013,19.295
 0.013,19.279
 0.013,19.263
 0.013,19.250
 0.014,19.239
 0.014,19.229
 0.014,19.217
 0.014,19.209
 0.014,19.219
 0.014,19.248
 0.014,19.266
 0.015,19.283
 0.015,19.307
 0.015,19.322
 0.015,19.330
 0.015,19.367
 0.015,19.380
 0.015,19.380
 0.015,19.375
 0.016,19.367
 0.016,19.341
 0.016,19.327
 0.016,19.319
 0.016,19.328
 0.016,19.328
 0.016,19.323
 0.017,19.336
 0.017,19.358
 0.017,19.376
 0.017,19.408
 0.017,19.422
 0.017,19.440
 0.017,19.449
 0.017,19.454
 0.018,19.451
 0.018,19.448
 0.018,19.455
 0.018,19.452
 0.018,19.448
 0.018,19.441
 0.018,19.435
 0.019,19.421
 0.019,19.414
 0.019,19.401
 0.019,19.391
 0.019,19.373
 0.019,19.355
 0.019,19.340
 0.019,19.328
 0.020,19.303
 0.020,19.293
 0.020,19.276
 0.020,19.259
 0.020,19.243
 0.020,19.228
 0.020,19.212
 0.021,19.197
 0.021,19.178
 0.021,19.174
 0.021,19.176
 0.021,19.187
 0.021,19.196
 0.021,19.215
 0.021,19.235
 0.022,19.259
 0.022,19.272
 0.022,19.280
 0.022,19.281
 0.022,19.279
 0.022,19.276
 0.022,19.267
 0.023,19.260
 0.023,19.254
 0.023,19.234
 0.023,19.224
 0.023,19.201
 0.023,19.195
 0.023,19.185
 0.024,19.164
 0.024,19.141
 0.024,19.118
 0.024,19.101
 0.024,19.084
 0.024,19.070
 0.024,19.059
 0.024,19.050
 0.025,19.038
 0.025,19.027
 0.025,19.012
 0.025,18.999
 0.025,18.993
 0.025,18.985
 0.025,18.989
 0.026,19.007
 0.026,19.022
 0.026,19.040
 0.026,19.058
 0.026,19.061
 0.026,19.069
 0.026,19.092
 0.026,19.091
 0.027,19.091
 0.027,19.088
 0.027,19.096
 0.027,19.100
 0.027,19.093
 0.027,19.088
 0.027,19.078
 0.028,19.068
 0.028,19.061
 0.028,19.045
 0.028,19.030
 0.028,19.013
 0.028,19.000
 0.028,18.976
 0.028,18.956
 0.029,18.942
 0.029,18.929
 0.029,18.914
 0.029,18.898
 0.029,18.887
 0.029,18.879
 0.029,18.871
 0.030,18.867
 0.030,18.866
 0.030,18.866
 0.030,18.869
 0.030,18.880
 0.030,18.898
 0.030,18.917
 0.030,18.924
 0.031,18.925
 0.031,18.927
 0.031,18.926
 0.031,18.926
 0.031,18.922
 0.031,18.917
 0.031,18.907
 0.032,18.897
 0.032,18.886
 0.032,18.874
 0.032,18.859
 0.032,18.845
 0.032,18.816
 0.032,18.795
 0.032,18.778
 0.033,18.766
 0.033,18.752
 0.033,18.740
 0.033,18.735
 0.033,18.726
 0.033,18.716
 0.033,18.704
 0.034,18.693
 0.034,18.681
 0.034,18.672
 0.034,18.666
 0.034,18.659
 0.034,18.650
 0.034,18.638
 0.034,18.629
 0.035,18.618
 0.035,18.612
 0.035,18.600
 0.035,18.592
 0.035,18.580
 0.035,18.569
 0.035,18.544
 0.036,18.529
 0.036,18.507
 0.036,18.489
 0.036,18.480
 0.036,18.467
 0.036,18.449
 0.036,18.439
 0.036,18.413
 0.037,18.403
 0.037,18.387
 0.037,18.380
 0.037,18.367
 0.037,18.354
 0.037,18.347
 0.037,18.336
 0.038,18.324
 0.038,18.311
 0.038,18.298
 0.038,18.279
 0.038,18.264
 0.038,18.251
 0.038,18.229
 0.038,18.214
 0.039,18.214
 0.039,18.212
 0.039,18.209
 0.039,18.208
 0.039,18.207
 0.039,18.208
 0.039,18.209
 0.040,18.212
 0.040,18.224
 0.040,18.233
 0.040,18.239
 0.040,18.230
 0.040,18.222
 0.040,18.204
 0.040,18.194
 0.041,18.191
 0.041,18.181
 0.041,18.177
 0.041,18.172
 0.041,18.166
 0.041,18.161
 0.041,18.156
 0.042,18.150
 0.042,18.144
 0.042,18.139
 0.042,18.135
 0.042,18.131
 0.042,18.127
 0.042,18.123
 0.042,18.119
 0.043,18.115
 0.043,18.110
 0.043,18.100
 0.043,18.085
 0.043,18.061
 0.043,18.043
 0.043,18.035
 0.044,18.056
 0.044,18.068
 0.044,18.073
 0.044,18.075
 0.044,18.080
 0.044,18.082
 0.044,18.080
 0.044,18.063
 0.045,18.055
 0.045,18.049
 0.045,18.035
 0.045,18.016
 0.045,18.005
 0.045,17.998
 0.045,17.994
 0.046,17.986
 0.046,17.982
 0.046,17.976
 0.046,17.973
 0.046,17.971
 0.046,17.969
 0.046,17.965
 0.046,17.958
 0.047,17.952
 0.047,17.937
 0.047,17.924
 0.047,17.910
 0.047,17.903
 0.047,17.891
 0.047,17.881
 0.048,17.869
 0.048,17.858
 0.048,17.849
 0.048,17.836
 0.048,17.819
 0.048,17.800
 0.048,17.783
 0.048,17.763
 0.049,17.754
 0.049,17.748
 0.049,17.743
 0.049,17.740
 0.049,17.739
 0.049,17.739
 0.049,17.739
 0.050,17.739
 0.050,17.739
 0.050,17.736
 0.050,17.736
 0.050,17.736
 0.050,17.735
 0.050,17.735
 0.050,17.734
 0.051,17.734
 0.051,17.733
 0.051,17.730
 0.051,17.722
 0.051,17.713
 0.051,17.700
 0.051,17.696
 0.052,17.692
 0.052,17.680
 0.052,17.667
 0.052,17.649
 0.052,17.636
 0.052,17.628
 0.052,17.617
 0.052,17.610
 0.053,17.600
 0.053,17.595
 0.053,17.590
 0.053,17.585
 0.053,17.583
 0.053,17.582
 0.053,17.579
 0.054,17.575
 0.054,17.569
 0.054,17.557
 0.054,17.551
 0.054,17.544
 0.054,17.528
 0.054,17.520
 0.054,17.509
 0.055,17.500
 0.055,17.494
 0.055,17.488
 0.055,17.482
 0.055,17.475
 0.055,17.472
 0.055,17.469
 0.056,17.465
 0.056,17.461
 0.056,17.458
 0.056,17.455
 0.056,17.450
 0.056,17.446
 0.056,17.437
 0.056,17.429
 0.057,17.414
 0.057,17.408
 0.057,17.399
 0.057,17.390
 0.057,17.382
 0.057,17.366
 0.057,17.358
 0.058,17.346
 0.058,17.332
 0.058,17.323
 0.058,17.312
 0.058,17.304
 0.058,17.291
 0.058,17.277
 0.058,17.272
 0.059,17.259
 0.059,17.246
 0.059,17.229
 0.059,17.219
 0.059,17.215
 0.059,17.210
 0.059,17.202
 0.060,17.198
 0.060,17.187
 0.060,17.177
 0.060,17.167
 0.060,17.156
 0.060,17.146
 0.060,17.135
 0.060,17.126
 0.061,17.116
 0.061,17.104
 0.061,17.098
 0.061,17.087
 0.061,17.078
 0.061,17.074
 0.061,17.064
 0.062,17.059
 0.062,17.048
 0.062,17.040
 0.062,17.036
 0.062,17.025
 0.062,17.017
 0.062,17.012
 0.062,17.003
 0.063,16.994
 0.063,16.991
 0.063,16.983
 0.063,16.975
 0.063,16.967
 0.063,16.960
 0.063,16.955
 0.064,16.950
 0.064,16.943
 0.064,16.937
 0.064,16.926
 0.064,16.916
 0.064,16.907
 0.064,16.904
 0.064,16.898
 0.065,16.891
 0.065,16.886
 0.065,16.881
 0.065,16.877
 0.065,16.870
 0.065,16.865
 0.065,16.860
 0.066,16.853
 0.066,16.847
 0.066,16.840
 0.066,16.837
 0.066,16.835
 0.066,16.833
 0.066,16.830
 0.066,16.821
 0.067,16.808
 0.067,16.802
